name,d,Toffoli,CNOT,1-qubit
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5056179775280899,2.4166666666666665,1.9578947368421054
perm,1,90.0,34.0,150.0
oldcount,1,78.0,12.0,73.0
optcount,1,78.0,12.0,73.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1538461538461537,2.8333333333333335,2.0547945205479454
perm,1,90.0,42.0,162.0
oldcount,1,116.0,16.0,93.0
optcount,1,116.0,16.0,93.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7758620689655172,2.625,1.7419354838709677
perm,1,90.0,34.0,150.0
oldcount,1,64.0,12.0,59.0
optcount,1,64.0,12.0,59.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.40625,2.8333333333333335,2.542372881355932
perm,1,90.0,26.0,138.0
oldcount,1,34.0,8.0,39.0
optcount,1,34.0,8.0,39.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.6470588235294117,3.25,3.5384615384615383
perm,1,90.0,34.0,150.0
oldcount,1,70.0,12.0,65.0
optcount,1,70.0,12.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2857142857142858,2.8333333333333335,2.3076923076923075
perm,1,90.0,46.0,168.0
oldcount,1,112.0,18.0,77.0
optcount,1,112.0,18.0,77.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8035714285714286,2.5555555555555554,2.1818181818181817
perm,1,90.0,38.0,156.0
oldcount,1,130.0,14.0,117.0
optcount,1,130.0,14.0,117.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6923076923076923,2.7142857142857144,1.3333333333333333
perm,1,90.0,30.0,144.0
oldcount,1,60.0,10.0,61.0
optcount,1,60.0,10.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5,3.0,2.360655737704918
perm,1,90.0,30.0,144.0
oldcount,1,80.0,10.0,81.0
optcount,1,80.0,10.0,81.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.125,3.0,1.7777777777777777
perm,1,90.0,34.0,150.0
oldcount,1,86.0,12.0,81.0
optcount,1,86.0,12.0,81.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0465116279069768,2.8333333333333335,1.8518518518518519
perm,1,90.0,34.0,150.0
oldcount,1,80.0,12.0,75.0
optcount,1,80.0,12.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.125,2.8333333333333335,2.0
perm,1,90.0,22.0,132.0
oldcount,1,34.0,6.0,41.0
optcount,1,34.0,6.0,41.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.6470588235294117,3.6666666666666665,3.2195121951219514
perm,1,90.0,42.0,162.0
oldcount,1,102.0,16.0,79.0
optcount,1,102.0,16.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8823529411764706,2.625,2.050632911392405
perm,1,90.0,26.0,138.0
oldcount,1,56.0,8.0,61.0
optcount,1,56.0,8.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.6071428571428572,3.25,2.262295081967213
perm,1,90.0,30.0,144.0
oldcount,1,60.0,10.0,61.0
optcount,1,60.0,10.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5,3.0,2.360655737704918
perm,1,90.0,26.0,138.0
oldcount,1,38.0,8.0,43.0
optcount,1,38.0,8.0,43.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.3684210526315788,3.25,3.2093023255813953
perm,1,90.0,34.0,150.0
oldcount,1,76.0,12.0,71.0
optcount,1,76.0,12.0,71.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1842105263157894,2.8333333333333335,2.112676056338028
perm,1,90.0,38.0,156.0
oldcount,1,94.0,14.0,81.0
optcount,1,94.0,14.0,81.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9574468085106383,2.7142857142857144,1.9259259259259258
perm,1,90.0,42.0,162.0
oldcount,1,106.0,16.0,83.0
optcount,1,106.0,16.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8490566037735849,2.625,1.9518072289156627
perm,1,90.0,46.0,168.0
oldcount,1,138.0,18.0,103.0
optcount,1,138.0,18.0,103.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6521739130434783,2.5555555555555554,1.6310679611650485
perm,1,90.0,42.0,162.0
oldcount,1,130.0,16.0,107.0
optcount,1,130.0,16.0,107.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6923076923076923,2.625,1.514018691588785
perm,1,90.0,26.0,138.0
oldcount,1,62.0,8.0,67.0
optcount,1,62.0,8.0,67.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.4516129032258065,3.25,2.0597014925373136
perm,1,90.0,50.0,174.0
oldcount,1,148.0,20.0,99.0
optcount,1,148.0,20.0,99.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6081081081081081,2.5,1.7575757575757576
perm,1,90.0,26.0,138.0
oldcount,1,56.0,8.0,61.0
optcount,1,56.0,8.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.6071428571428572,3.25,2.262295081967213
perm,1,90.0,42.0,162.0
oldcount,1,96.0,16.0,73.0
optcount,1,96.0,16.0,73.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9375,2.625,2.219178082191781
perm,1,90.0,38.0,156.0
oldcount,1,96.0,14.0,83.0
optcount,1,96.0,14.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9375,2.7142857142857144,1.8795180722891567
perm,1,90.0,54.0,180.0
oldcount,1,156.0,22.0,91.0
optcount,1,156.0,22.0,91.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5769230769230769,2.4545454545454546,1.978021978021978
perm,1,90.0,42.0,162.0
oldcount,1,120.0,16.0,97.0
optcount,1,120.0,16.0,97.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.75,2.625,1.6701030927835052
perm,1,90.0,46.0,168.0
oldcount,1,104.0,18.0,69.0
optcount,1,104.0,18.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8653846153846154,2.5555555555555554,2.4347826086956523
perm,1,90.0,30.0,144.0
oldcount,1,62.0,10.0,63.0
optcount,1,62.0,10.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.4516129032258065,3.0,2.2857142857142856
perm,1,90.0,42.0,162.0
oldcount,1,82.0,16.0,59.0
optcount,1,82.0,16.0,59.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0975609756097562,2.625,2.7457627118644066
perm,1,90.0,34.0,150.0
oldcount,1,84.0,12.0,79.0
optcount,1,84.0,12.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0714285714285714,2.8333333333333335,1.8987341772151898
perm,1,90.0,30.0,144.0
oldcount,1,82.0,10.0,83.0
optcount,1,82.0,10.0,83.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0975609756097562,3.0,1.7349397590361446
perm,1,90.0,42.0,162.0
oldcount,1,108.0,16.0,85.0
optcount,1,108.0,16.0,85.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8333333333333334,2.625,1.9058823529411764
perm,1,90.0,46.0,168.0
oldcount,1,110.0,18.0,75.0
optcount,1,110.0,18.0,75.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8181818181818182,2.5555555555555554,2.24
perm,1,90.0,46.0,168.0
oldcount,1,136.0,18.0,101.0
optcount,1,136.0,18.0,101.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6617647058823529,2.5555555555555554,1.6633663366336633
perm,1,90.0,34.0,150.0
oldcount,1,60.0,12.0,55.0
optcount,1,60.0,12.0,55.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5,2.8333333333333335,2.727272727272727
perm,1,90.0,38.0,156.0
oldcount,1,106.0,14.0,93.0
optcount,1,106.0,14.0,93.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8490566037735849,2.7142857142857144,1.6774193548387097
perm,1,90.0,34.0,150.0
oldcount,1,108.0,12.0,103.0
optcount,1,108.0,12.0,103.0
opt_old,1,1.0,1.0,1.0
