name,n,Toffoli,CNOT,1-qubit
perm_opt,4,4.6,4.777777777777778,4.454545454545454
perm,4,50.0,44.0,123.0
oldcount,4,26.0,20.0,61.0
optcount,4,16.0,16.0,47.0
opt_old,4,0.6153846153846154,0.8,0.7704918032786885
perm_opt,4,3.125,2.75,2.617021276595745
perm,4,98.0,92.0,259.0
oldcount,4,32.0,24.0,67.0
optcount,4,20.0,20.0,55.0
opt_old,4,0.625,0.8333333333333334,0.8208955223880597
perm_opt,4,4.9,4.6,4.709090909090909
perm,4,140.0,126.0,359.0
oldcount,4,26.0,20.0,57.0
optcount,4,14.0,16.0,45.0
opt_old,4,0.5384615384615384,0.8,0.7894736842105263
perm_opt,4,10.0,7.875,7.977777777777778
perm,4,104.0,94.0,263.0
oldcount,4,26.0,20.0,55.0
optcount,4,14.0,16.0,43.0
opt_old,4,0.5384615384615384,0.8,0.7818181818181819
perm_opt,4,7.428571428571429,5.875,6.116279069767442
perm,4,116.0,114.0,315.0
oldcount,4,28.0,22.0,63.0
optcount,4,28.0,22.0,63.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.142857142857143,5.181818181818182,5.0
perm,4,92.0,90.0,249.0
oldcount,4,28.0,22.0,63.0
optcount,4,18.0,14.0,44.0
opt_old,4,0.6428571428571429,0.6363636363636364,0.6984126984126984
perm_opt,4,5.111111111111111,6.428571428571429,5.659090909090909
perm,4,92.0,82.0,245.0
oldcount,4,26.0,18.0,55.0
optcount,4,16.0,14.0,45.0
opt_old,4,0.6153846153846154,0.7777777777777778,0.8181818181818182
perm_opt,4,5.75,5.857142857142857,5.444444444444445
perm,4,98.0,88.0,245.0
oldcount,4,20.0,18.0,51.0
optcount,4,10.0,14.0,39.0
opt_old,4,0.5,0.7777777777777778,0.7647058823529411
perm_opt,4,9.8,6.285714285714286,6.282051282051282
perm,4,110.0,104.0,291.0
oldcount,4,24.0,20.0,55.0
optcount,4,10.0,10.0,30.0
opt_old,4,0.4166666666666667,0.5,0.5454545454545454
perm_opt,4,11.0,10.4,9.7
perm,4,116.0,110.0,305.0
oldcount,4,32.0,24.0,67.0
optcount,4,26.0,22.0,63.0
opt_old,4,0.8125,0.9166666666666666,0.9402985074626866
perm_opt,4,4.461538461538462,5.0,4.841269841269841
perm,4,128.0,122.0,349.0
oldcount,4,24.0,20.0,57.0
optcount,4,14.0,16.0,45.0
opt_old,4,0.5833333333333334,0.8,0.7894736842105263
perm_opt,4,9.142857142857142,7.625,7.7555555555555555
perm,4,128.0,114.0,329.0
oldcount,4,32.0,24.0,69.0
optcount,4,16.0,18.0,49.0
opt_old,4,0.5,0.75,0.7101449275362319
perm_opt,4,8.0,6.333333333333333,6.714285714285714
perm,4,116.0,106.0,305.0
