name,d,Toffoli,CNOT,1-qubit
perm_opt,1,1.1785714285714286,2.8333333333333335,2.4705882352941178
perm,1,66.0,42.0,138.0
oldcount,1,58.0,16.0,35.0
optcount,1,58.0,16.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1379310344827587,2.625,3.942857142857143
perm,1,66.0,30.0,120.0
oldcount,1,34.0,10.0,35.0
optcount,1,34.0,10.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.9411764705882353,3.0,3.4285714285714284
perm,1,66.0,42.0,138.0
oldcount,1,88.0,16.0,65.0
optcount,1,88.0,16.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.75,2.625,2.123076923076923
perm,1,66.0,14.0,96.0
oldcount,1,0.0,2.0,5.0
optcount,1,0.0,2.0,5.0
opt_old,1,0.0,1.0,1.0
perm_opt,1,0.0,7.0,19.2
perm,1,66.0,30.0,120.0
oldcount,1,38.0,10.0,39.0
optcount,1,38.0,10.0,39.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.736842105263158,3.0,3.076923076923077
perm,1,66.0,30.0,120.0
oldcount,1,46.0,10.0,47.0
optcount,1,46.0,10.0,47.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.434782608695652,3.0,2.5531914893617023
perm,1,66.0,26.0,114.0
oldcount,1,42.0,8.0,47.0
optcount,1,42.0,8.0,47.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5714285714285714,3.25,2.425531914893617
perm,1,66.0,26.0,114.0
oldcount,1,60.0,8.0,65.0
optcount,1,60.0,8.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1,3.25,1.7538461538461538
perm,1,66.0,42.0,138.0
oldcount,1,76.0,16.0,53.0
optcount,1,76.0,16.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.868421052631579,2.625,2.6037735849056602
perm,1,66.0,34.0,126.0
oldcount,1,58.0,12.0,53.0
optcount,1,58.0,12.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1379310344827587,2.8333333333333335,2.3773584905660377
perm,1,66.0,26.0,114.0
oldcount,1,32.0,8.0,37.0
optcount,1,32.0,8.0,37.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.0625,3.25,3.081081081081081
perm,1,66.0,38.0,132.0
oldcount,1,64.0,14.0,51.0
optcount,1,64.0,14.0,51.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.03125,2.7142857142857144,2.588235294117647
perm,1,66.0,22.0,108.0
oldcount,1,42.0,6.0,49.0
optcount,1,42.0,6.0,49.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5714285714285714,3.6666666666666665,2.204081632653061
perm,1,66.0,34.0,126.0
oldcount,1,46.0,12.0,41.0
optcount,1,46.0,12.0,41.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.434782608695652,2.8333333333333335,3.073170731707317
perm,1,66.0,18.0,102.0
oldcount,1,22.0,4.0,29.0
optcount,1,22.0,4.0,29.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,3.0,4.5,3.5172413793103448
perm,51,3324.0,1582.0,5625.0
oldcount,51,2526.0,390.0,1399.0
optcount,51,2024.0,322.0,1225.0
opt_old,51,0.8012668250197942,0.8256410256410256,0.875625446747677
perm_opt,51,1.6422924901185771,4.913043478260869,4.591836734693878
perm,51,3412.0,1534.0,5629.0
oldcount,51,2394.0,382.0,1327.0
optcount,51,1920.0,312.0,1173.0
opt_old,51,0.8020050125313283,0.8167539267015707,0.8839487565938207
perm_opt,51,1.7770833333333333,4.916666666666667,4.798806479113384
perm,51,3324.0,1518.0,5603.0
oldcount,51,2078.0,326.0,1187.0
optcount,51,1788.0,286.0,1081.0
opt_old,51,0.8604427333974976,0.8773006134969326,0.9106992417860151
perm_opt,51,1.8590604026845639,5.3076923076923075,5.183163737280296
perm,51,3368.0,1490.0,5551.0
oldcount,51,2424.0,368.0,1309.0
optcount,51,1990.0,304.0,1139.0
opt_old,51,0.820957095709571,0.8260869565217391,0.8701298701298701
perm_opt,51,1.692462311557789,4.901315789473684,4.8735733099209835
perm,51,3368.0,1638.0,5795.0
oldcount,51,2282.0,360.0,1267.0
optcount,51,1882.0,298.0,1115.0
opt_old,51,0.8247151621384751,0.8277777777777777,0.8800315706393055
perm_opt,51,1.789585547290117,5.496644295302014,5.197309417040358
perm,51,3412.0,1510.0,5577.0
oldcount,51,2414.0,372.0,1327.0
optcount,51,2022.0,316.0,1197.0
opt_old,51,0.8376139188069595,0.8494623655913979,0.9020346646571213
perm_opt,51,1.6874381800197824,4.7784810126582276,4.659147869674185
perm,51,3412.0,1630.0,5781.0
oldcount,51,2618.0,406.0,1399.0
optcount,51,2064.0,326.0,1211.0
opt_old,51,0.7883880825057296,0.8029556650246306,0.8656182987848463
perm_opt,51,1.6531007751937985,5.0,4.773740710156895
perm,51,3412.0,1554.0,5639.0
oldcount,51,2600.0,404.0,1431.0
optcount,51,2276.0,354.0,1303.0
opt_old,51,0.8753846153846154,0.8762376237623762,0.9105520614954578
perm_opt,51,1.4991212653778558,4.389830508474576,4.327705295471988
perm,51,3412.0,1602.0,5739.0
oldcount,51,2334.0,362.0,1293.0
optcount,51,2062.0,320.0,1203.0
opt_old,51,0.8834618680377035,0.8839779005524862,0.9303944315545244
perm_opt,51,1.6547041707080505,5.00625,4.770573566084788
perm,51,3324.0,1478.0,5449.0
oldcount,51,2678.0,406.0,1435.0
optcount,51,2216.0,338.0,1282.0
opt_old,51,0.8274831964152353,0.8325123152709359,0.8933797909407666
perm_opt,51,1.5,4.372781065088757,4.250390015600624
perm,51,3412.0,1510.0,5557.0
oldcount,51,2492.0,382.0,1381.0
optcount,51,2058.0,318.0,1211.0
opt_old,51,0.8258426966292135,0.8324607329842932,0.8769007965242578
perm_opt,51,1.6579203109815355,4.748427672955975,4.588769611890999
perm,51,3412.0,1538.0,5671.0
oldcount,51,2256.0,350.0,1231.0
optcount,51,1870.0,296.0,1113.0
opt_old,51,0.8289007092198581,0.8457142857142858,0.9041429731925265
perm_opt,51,1.8245989304812835,5.195945945945946,5.095238095238095
perm,51,3412.0,1530.0,5659.0
oldcount,51,2212.0,350.0,1249.0
optcount,51,1794.0,290.0,1111.0
opt_old,51,0.8110307414104883,0.8285714285714286,0.8895116092874299
perm_opt,51,1.9018952062430323,5.275862068965517,5.093609360936093
perm,51,3412.0,1634.0,5815.0
oldcount,51,2484.0,378.0,1327.0
optcount,51,1980.0,308.0,1191.0
opt_old,51,0.7971014492753623,0.8148148148148148,0.8975131876412962
perm_opt,51,1.7232323232323232,5.305194805194805,4.882451721242653
perm,51,3412.0,1602.0,5735.0
oldcount,51,2544.0,390.0,1339.0
optcount,51,2122.0,328.0,1225.0
opt_old,51,0.8341194968553459,0.841025641025641,0.9148618371919343
